iter	Logloss
0	0.4936339554
1	0.3746533508
2	0.3044210483
3	0.2725660268
4	0.250176247
5	0.2345821947
6	0.2233427596
7	0.2165455294
8	0.2090286865
9	0.2041652922
10	0.2009788163
11	0.1984605173
12	0.1944812355
13	0.1920243317
14	0.1891729227
15	0.1877294884
16	0.1864764094
17	0.1847235225
18	0.1826932754
19	0.1812299636
20	0.1803212571
21	0.1796497039
22	0.1780020523
23	0.1773146398
24	0.1769865562
25	0.1765311698
26	0.1758146126
27	0.1745103593
28	0.1735439139
29	0.1731598538
30	0.1724892244
31	0.171794442
32	0.170340675
33	0.1698501927
34	0.1689310506
35	0.1683600345
36	0.1680193991
37	0.1677868336
38	0.1671024012
39	0.1668881878
40	0.1664704815
41	0.1662341859
42	0.1657869053
43	0.1655434668
44	0.1653228494
45	0.1650146807
46	0.1645962873
47	0.1637454485
48	0.1634079282
49	0.1631665538
50	0.1629549331
51	0.1626177706
52	0.1618526292
53	0.1614039022
54	0.1603256376
55	0.1600420277
56	0.1590297933
57	0.1587693589
58	0.1585301754
59	0.1582730277
60	0.157973123
61	0.1570197362
62	0.1567958571
63	0.1563498884
64	0.1558328419
65	0.1549846274
66	0.1544811299
67	0.1539352588
68	0.1536606441
69	0.1534333653
70	0.1531047694
71	0.1529286105
72	0.1522103775
73	0.1519512497
74	0.1511353973
75	0.150770774
76	0.1502475614
77	0.1499673768
78	0.1497204596
79	0.1494005991
80	0.1491977931
81	0.1489109983
82	0.1486467166
83	0.1483342029
84	0.1480597304
85	0.1477347944
86	0.1475376106
87	0.1472797423
88	0.1468177128
89	0.1462742531
90	0.1456166962
91	0.1453432256
92	0.145081801
93	0.1449297267
94	0.144554482
95	0.1442400369
96	0.1440156758
97	0.1436916885
98	0.1433911128
99	0.1431071453
100	0.1428737548
101	0.1424941875
102	0.1421890547
103	0.1418357076
104	0.1411880258
105	0.1410038297
106	0.1408160873
107	0.1403304109
108	0.1399051702
109	0.13964302
110	0.1392723564
111	0.1389269814
112	0.1383307836
113	0.1382467492
114	0.137881372
115	0.1376833681
116	0.1374777586
117	0.1373765023
118	0.1370028543
119	0.1367239574
120	0.1365391873
121	0.1363905726
122	0.1360802835
123	0.1357438344
124	0.1354694118
125	0.1351200986
126	0.1348930715
127	0.1346003245
128	0.1344365382
129	0.1341683596
130	0.1340588442
131	0.1337500012
132	0.1334829879
133	0.1332428106
134	0.1330611076
135	0.132752427
136	0.1325739767
137	0.1324312453
138	0.1321369972
139	0.1318485056
140	0.1315243985
141	0.13128113
142	0.1308327016
143	0.1304914427
144	0.1303083639
145	0.1299546971
146	0.1297583137
147	0.1295317154
148	0.1293844436
149	0.1291258805
150	0.1290093242
151	0.1289152811
152	0.1284612669
153	0.1282477159
154	0.1279742072
155	0.1277152528
156	0.1274381423
157	0.1271749242
158	0.1267025978
159	0.1265230447
160	0.12632421
161	0.1260500915
162	0.1257508282
163	0.1256128248
164	0.125375938
165	0.1250876696
166	0.1249147722
167	0.1245879389
168	0.1243198722
169	0.1240838323
170	0.1239131892
171	0.1236259126
172	0.1234240764
173	0.123093811
174	0.1229373295
175	0.122756184
176	0.1225524208
177	0.1224019478
178	0.122199328
179	0.1220875772
180	0.1219050527
181	0.1217247708
182	0.1215795653
183	0.1213947293
